store,dt,opening_stock
G,2024-06-19,363
F,2024-02-01,519
D,2023-12-29,297
G,2023-09-07,352
D,2025-09-25,485
C,2024-07-04,577
F,2025-04-20,618
B,2025-01-02,260
A,2025-10-22,590
A,2024-04-12,206
B,2025-12-06,46
D,2024-10-12,373
F,2025-07-18,550
A,2024-12-18,345
D,2025-10-06,428
F,2023-09-17,773
F,2024-11-30,509
E,2025-08-19,697
E,2024-05-17,551
E,2024-01-21,111
E,2023-11-27,164
F,2024-11-23,553
E,2024-04-08,150
C,2024-09-11,849
C,2024-07-13,639
C,2025-04-15,903
G,2024-12-28,366
G,2024-11-12,323
E,2024-11-07,395
E,2023-09-11,49
A,2025-12-06,440
D,2025-01-23,411
E,2023-10-23,21
A,2024-05-06,205
C,2024-05-27,796
B,2025-11-28,82
A,2024-11-20,359
F,2025-05-18,561
B,2025-01-29,442
F,2024-12-22,706
A,2023-12-25,152
E,2025-03-14,525
B,2025-01-04,247
C,2023-10-30,1229
D,2024-03-04,201
F,2024-11-01,572
C,2025-02-06,1013
B,2025-05-08,345
F,2025-11-04,466
A,2024-03-15,143
A,2025-04-11,430
B,2023-08-21,138
F,2023-12-28,587
F,2025-08-06,648
G,2025-04-30,669
A,2023-08-21,465
B,2025-08-20,201
A,2023-08-18,482
B,2024-12-14,245
C,2025-07-13,884
C,2025-04-18,882
A,2025-01-24,442
B,2023-07-27,76
D,2025-07-30,471
C,2025-12-11,965
F,2023-08-03,927
D,2023-09-22,323
A,2025-06-09,340
E,2024-05-19,541
D,2024-12-27,452
D,2024-08-15,136
C,2024-11-09,958
F,2023-09-05,841
G,2024-06-26,329
E,2024-01-15,132
D,2023-12-26,312
C,2023-08-14,1210
A,2024-09-17,394
E,2024-07-16,390
B,2024-09-28,360
F,2024-05-11,374
D,2023-08-22,274
C,2025-02-22,960
G,2023-08-26,310
C,2023-09-05,1178
D,2025-10-05,431
E,2024-06-17,471
F,2024-07-26,571
F,2025-04-21,615
G,2024-08-08,198
C,2024-02-14,924
B,2025-01-30,438
E,2025-07-16,791
C,2023-11-05,1181
F,2025-05-16,565
C,2023-11-07,1170
B,2023-10-18,97
E,2025-08-05,785
B,2023-12-22,28
C,2025-10-08,1319
F,2023-11-17,595
B,2025-05-25,343
G,2025-04-16,139
A,2023-12-10,130
F,2024-12-27,680
B,2024-07-11,104
B,2025-03-22,284
F,2025-09-13,535
C,2024-01-19,947
F,2024-09-18,582
C,2023-09-30,1379
C,2024-01-16,965
C,2023-10-10,1328
G,2024-11-13,316
C,2025-01-03,790
E,2023-11-13,145
B,2025-08-23,188
A,2024-05-29,194
C,2024-09-10,853
F,2024-07-17,610
E,2024-09-12,410
F,2023-12-20,610
G,2024-08-07,198
F,2024-03-17,543
D,2024-08-23,504
B,2025-08-12,233
C,2024-02-02,975
E,2024-11-13,359
B,2025-04-07,291
A,2023-08-08,336
G,2023-08-14,241
F,2025-02-02,502
E,2025-12-01,678
F,2023-11-20,584
B,2025-01-18,182
F,2025-02-06,586
F,2025-05-15,575
G,2024-08-14,169
A,2025-10-05,691
A,2025-07-21,337
A,2023-10-02,334
A,2024-10-25,386
F,2024-10-03,616
F,2024-06-30,699
D,2025-07-28,484
E,2024-05-06,197
A,2024-05-11,186
D,2025-07-13,441
A,2024-09-03,460
D,2024-03-14,173
F,2023-11-18,595
B,2025-10-26,264
B,2024-06-15,44
D,2024-06-05,81
F,2025-01-21,561
F,2025-03-24,669
C,2024-05-12,747
D,2023-12-15,260
D,2024-09-08,541
C,2023-09-25,1300
G,2023-11-02,170
B,2025-04-02,325
A,2024-05-22,120
A,2024-08-03,412
C,2025-03-16,841
G,2025-04-14,149
G,2025-10-13,566
A,2025-10-19,610
D,2024-09-28,458
C,2025-02-04,1025
B,2023-07-21,106
C,2024-03-21,827
G,2024-05-26,290
G,2024-04-24,244
C,2024-03-20,833
C,2024-10-17,847
A,2025-06-03,371
D,2023-09-13,269
A,2025-11-29,471
B,2025-08-13,231
D,2024-12-13,509
E,2024-01-25,87
F,2024-06-24,630
F,2025-08-30,508
G,2025-08-23,364
E,2024-05-10,172
A,2025-03-30,378
B,2024-09-15,209
D,2024-04-12,127
A,2023-09-24,373
G,2025-04-18,130
F,2025-09-14,532
F,2024-03-19,529
D,2025-01-28,376
G,2024-09-05,442
D,2023-10-11,343
B,2024-05-25,163
B,2023-09-15,202
A,2025-06-14,400
C,2024-11-30,841
A,2024-08-21,434
F,2023-11-04,649
A,2024-06-20,170
E,2025-11-20,632
F,2025-08-01,484
D,2024-01-22,171
G,2025-03-12,224
E,2024-11-17,633
G,2024-04-14,304
C,2023-10-22,1260
F,2024-10-23,504
G,2025-09-21,554
A,2024-10-14,457
C,2024-12-16,871
G,2024-03-27,415
E,2023-11-24,177
G,2025-05-02,660
E,2024-11-20,616
C,2025-02-20,962
B,2024-12-24,207
A,2023-08-26,535
F,2023-08-09,885
G,2025-03-24,177
E,2025-10-11,442
B,2025-11-25,110
D,2024-08-17,128
A,2025-10-01,709
A,2024-04-06,134
B,2025-03-08,253
A,2023-11-06,300
F,2023-08-15,963
A,2025-04-29,462
G,2025-07-27,296
A,2025-08-05,357
A,2025-02-25,370
B,2024-08-15,394
E,2024-05-30,569
B,2025-02-06,404
B,2024-04-22,90
G,2023-09-01,285
A,2025-08-21,789
C,2024-12-17,861
G,2023-11-20,75
C,2025-07-31,985
C,2024-02-16,923
C,2024-08-30,924
D,2023-12-19,240
E,2024-06-10,502
E,2024-03-03,119
A,2024-06-22,350
E,2024-12-01,558
C,2025-08-10,939
F,2025-07-14,465
A,2023-12-31,210
F,2025-01-05,635
G,2023-09-13,329
B,2025-09-10,179
C,2023-12-19,1045
C,2024-07-20,601
B,2025-02-18,321
E,2025-04-04,431
B,2024-01-14,111
D,2024-03-06,197
C,2025-09-06,897
G,2025-04-26,393
C,2024-05-09,748
E,2025-01-03,380
F,2024-05-26,375
B,2024-06-27,61
A,2023-10-10,302
E,2025-08-25,659
B,2025-05-06,353
D,2025-02-01,355
E,2024-02-27,136
A,2023-08-29,524
D,2025-04-07,422
E,2024-12-03,541
D,2024-05-18,61
C,2024-04-01,781
D,2024-09-29,451
A,2025-09-27,727
D,2024-10-14,363
G,2024-04-12,323
E,2025-01-12,426
B,2025-03-21,289
E,2023-09-10,58
A,2025-03-06,421
E,2025-03-25,467
B,2024-10-05,312
D,2024-09-26,470
G,2025-08-05,350
D,2025-05-12,441
F,2025-01-11,612
C,2024-09-21,894
B,2025-11-22,131
A,2024-05-30,187
D,2024-08-12,153
E,2025-07-31,817
E,2023-10-31,89
C,2023-08-28,1231
C,2025-01-29,1039
A,2024-06-30,508
C,2025-04-20,875
B,2023-10-21,77
B,2024-12-31,169
C,2024-02-10,940
A,2024-04-13,202
G,2024-02-03,70
C,2025-10-02,1243
B,2023-11-26,116
D,2024-03-22,126
A,2025-11-10,482
C,2025-04-10,933
B,2024-05-08,124
D,2023-07-29,171
D,2024-03-23,123
F,2024-05-06,400
E,2023-08-14,84
D,2023-12-16,253
A,2023-12-23,166
A,2024-03-25,102
F,2024-12-04,496
B,2024-05-29,140
G,2024-10-16,246
D,2024-12-18,487
D,2025-07-10,451
F,2025-01-26,544
G,2023-10-31,175
F,2024-01-14,500
E,2024-12-07,517
F,2025-01-29,523
A,2023-10-26,328
C,2025-10-04,1334
F,2025-03-21,582
A,2025-08-27,767
F,2025-04-26,590
A,2024-06-27,526
B,2024-12-07,280
D,2025-02-08,422
A,2025-10-30,557
F,2025-11-22,376
C,2025-02-14,988
B,2025-04-09,280
F,2025-06-05,557
D,2025-08-10,419
D,2023-11-12,392
D,2025-08-05,438
B,2025-05-09,338
F,2024-08-05,526
A,2025-08-24,785
D,2025-07-17,422
B,2023-11-11,84
C,2024-05-16,745
G,2024-03-07,407
E,2025-01-17,506
D,2023-08-09,140
C,2024-08-11,1015
G,2025-09-08,410
G,2024-07-01,305
G,2023-12-30,161
D,2025-09-14,453
G,2024-10-20,227
G,2025-03-04,273
A,2024-01-14,146
D,2024-11-20,393
C,2024-06-23,646
G,2024-02-08,44
A,2023-12-29,224
C,2024-10-26,809
E,2024-08-18,419
C,2024-10-19,838
A,2024-12-27,592
A,2025-02-23,380
E,2025-01-10,446
C,2025-05-21,1022
F,2025-07-29,496
C,2025-05-06,1003
A,2023-08-15,491
A,2024-07-05,469
C,2024-10-29,905
G,2025-02-28,195
C,2025-02-19,969
D,2024-11-06,464
D,2025-10-22,544
C,2024-07-24,894
D,2024-11-14,416
F,2025-01-15,595
G,2023-07-20,370
E,2025-04-25,429
B,2025-06-23,291
F,2024-11-14,518
G,2024-06-30,313
A,2025-05-31,379
B,2024-06-03,109
C,2024-02-28,858
F,2023-11-28,542
F,2025-06-06,553
C,2025-05-14,944
B,2024-04-15,134
F,2024-06-07,306
B,2023-07-19,23
B,2025-09-22,326
B,2025-03-30,336
C,2024-04-26,825
G,2024-06-20,360
C,2025-09-26,1282
F,2024-07-25,573
D,2024-12-17,493
A,2025-10-12,646
G,2024-10-25,200
D,2023-09-15,359
B,2024-12-30,173
A,2025-09-08,813
E,2024-06-13,486
F,2025-09-18,610
F,2025-10-30,505
D,2024-07-14,91
E,2025-04-01,446
F,2025-09-04,479
F,2023-10-09,683
A,2024-05-21,126
D,2025-03-04,584
C,2024-08-23,964
A,2024-04-09,128
E,2025-08-04,795
B,2025-10-28,252
E,2025-03-30,450
D,2025-08-02,458
G,2024-06-17,366
E,2023-10-09,14
C,2023-09-19,1330
G,2025-04-20,122
D,2025-03-17,508
G,2024-02-25,50
C,2023-12-02,1130
B,2025-02-20,319
D,2023-10-28,454
E,2025-07-27,839
F,2025-02-07,577
A,2024-05-27,202
E,2024-10-19,311
G,2025-01-18,242
E,2024-06-03,547
B,2024-08-26,331
B,2025-08-24,286
E,2025-04-22,439
G,2024-04-16,285
C,2024-07-31,956
A,2025-01-02,570
F,2024-05-10,383
B,2024-02-10,53
F,2025-11-26,351
G,2024-10-15,247
B,2023-10-20,84
A,2024-09-06,446
G,2024-07-02,295
E,2025-03-23,468
E,2025-05-21,496
B,2025-02-02,424
A,2025-01-28,417
F,2025-03-14,630
A,2023-10-09,304
D,2024-06-13,41
E,2024-10-11,361
A,2025-06-26,461
B,2025-10-19,289
A,2024-05-28,197
A,2024-04-22,151
C,2025-01-14,825
B,2023-09-27,246
B,2024-09-02,283
G,2024-05-10,266
E,2024-11-14,455
E,2024-10-06,387
C,2025-02-10,994
F,2024-07-27,565
G,2023-11-22,163
D,2024-01-03,278
A,2025-02-18,416
B,2024-05-15,201
G,2024-12-25,268
C,2025-01-19,790
A,2025-09-13,800
B,2024-05-06,126
B,2024-08-05,465
D,2023-11-01,433
C,2024-08-31,917
G,2023-08-13,245
G,2024-05-22,318
E,2023-10-14,89
G,2023-12-04,94
G,2024-01-03,148
E,2024-05-03,214
E,2024-12-31,389
F,2025-03-07,550
E,2024-04-25,258
B,2025-07-24,313
G,2024-06-06,325
A,2025-12-11,515
A,2024-08-14,359
A,2023-12-08,136
C,2025-04-24,961
G,2023-08-25,311
C,2025-08-25,856
C,2024-01-04,958
C,2024-08-26,948
F,2024-07-11,645
E,2024-10-13,345
C,2023-08-04,1274
G,2025-05-04,642
A,2025-06-29,448
F,2023-10-04,714
F,2025-05-07,520
B,2025-11-27,90
F,2025-08-28,518
A,2025-09-29,725
D,2025-09-22,406
C,2024-10-22,822
D,2025-11-04,595
G,2023-10-28,193
C,2024-10-07,912
E,2023-07-21,91
F,2024-04-04,548
E,2023-09-01,98
G,2025-12-06,491
C,2024-05-20,837
B,2024-07-22,362
A,2025-10-20,608
G,2025-01-16,258
F,2025-02-23,598
B,2024-04-05,72
B,2024-06-01,124
B,2024-08-25,331
D,2025-06-18,551
B,2025-01-09,222
A,2023-09-06,480
B,2024-12-21,219
A,2025-01-14,505
C,2023-09-22,1315
F,2025-09-02,485
F,2025-11-24,365
B,2025-04-14,253
E,2024-11-29,572
F,2023-09-01,863
B,2025-12-09,33
G,2024-01-18,63
A,2024-07-01,504
E,2024-07-10,425
F,2024-04-24,454
D,2024-12-08,521
D,2025-12-03,638
C,2024-10-27,905
F,2023-08-24,903
E,2025-04-08,413
F,2025-02-01,504
F,2023-07-20,800
G,2023-08-19,230
C,2023-09-07,1173
C,2023-07-22,1222
C,2025-03-08,881
C,2024-05-22,826
E,2025-01-09,449
F,2024-03-03,493
C,2024-03-04,826
G,2024-04-09,350
D,2025-09-29,463
G,2025-08-25,456
D,2024-04-10,131
F,2024-10-12,569
G,2025-09-22,551
A,2025-04-26,475
E,2025-01-11,436
G,2025-06-20,496
C,2025-11-29,1025
C,2025-01-16,814
G,2024-05-28,278
E,2025-04-13,382
B,2025-10-06,365
E,2025-04-16,466
B,2025-03-31,336
E,2024-06-23,443
B,2024-04-14,141
C,2023-12-09,1098
B,2025-09-30,290
C,2024-04-08,748
F,2025-08-24,544
A,2025-02-06,372
C,2023-12-11,1092
F,2025-07-17,551
A,2024-05-20,126
D,2025-03-01,592
D,2025-03-25,467
C,2024-03-01,846
C,2024-11-20,895
A,2023-10-04,322
E,2023-11-15,130
A,2025-12-09,427
C,2025-03-09,873
C,2025-08-11,935
A,2025-08-12,340
E,2024-03-20,133
A,2025-09-17,780
G,2025-09-23,549
F,2025-03-01,581
B,2024-10-04,319
C,2023-10-19,1282
D,2023-08-01,158
G,2025-08-26,456
B,2024-05-30,131
D,2023-11-21,354
E,2025-07-02,379
A,2025-07-24,316
C,2025-07-26,1013
B,2024-06-26,69
E,2025-03-11,530
E,2025-10-15,530
B,2025-12-07,42
D,2023-07-27,77
B,2023-12-27,7
C,2025-06-05,953
B,2024-06-07,81
A,2025-02-03,388
B,2025-08-11,236
F,2024-09-19,577
D,2023-09-29,299
D,2024-01-26,159
A,2024-06-10,212
D,2025-05-01,503
D,2024-05-21,48
A,2024-11-01,352
C,2023-08-26,1245
A,2024-10-09,484
E,2025-09-11,583
C,2023-09-17,1330
C,2024-09-07,882
B,2023-10-24,68
A,2023-09-11,457
B,2025-11-08,199
F,2024-04-29,422
B,2024-05-07,124
G,2025-03-02,280
E,2025-11-12,557
E,2023-09-27,59
E,2025-01-13,423
C,2025-09-09,879
G,2025-05-30,585
B,2025-06-07,280
C,2025-02-09,1004
D,2025-02-27,601
A,2025-11-26,491
E,2025-05-10,441
E,2025-10-31,530
F,2024-01-20,477
F,2025-05-02,554
B,2023-11-12,79
F,2025-06-26,560
C,2025-06-03,959
D,2024-04-20,97
B,2023-09-22,160
G,2025-07-19,345
C,2025-06-07,939
D,2024-11-05,471
A,2025-08-30,759
F,2025-08-23,549
E,2025-03-05,456
A,2024-08-31,478
C,2024-08-05,940
D,2025-06-24,527
E,2025-12-08,656
G,2025-10-30,699
D,2024-03-09,192
G,2023-12-13,147
G,2024-07-11,238
D,2023-12-20,233
F,2025-01-02,654
A,2025-03-24,413
D,2023-11-24,345
B,2025-02-23,300
C,2023-12-22,1036
D,2023-09-07,303
A,2025-09-06,824
F,2024-04-23,459
A,2025-07-07,411
B,2025-11-26,100
G,2024-01-01,158
E,2025-12-09,648
F,2024-10-14,551
B,2024-07-27,420
G,2024-06-28,324
G,2024-04-01,395
G,2024-02-10,27
F,2023-12-22,606
G,2023-08-31,292
C,2024-10-08,908
C,2025-01-28,1043
G,2024-01-07,117
D,2025-06-04,524
C,2024-02-09,941
D,2025-12-04,632
C,2024-08-27,940
F,2025-10-29,508
G,2025-12-04,496
C,2023-12-20,1038
G,2024-11-21,262
D,2024-02-08,113
D,2025-03-09,552
G,2025-11-22,561
D,2023-09-26,311
C,2023-10-09,1337
C,2025-11-21,1057
G,2025-06-25,478
A,2024-04-01,163
G,2025-06-17,509
E,2025-05-08,454
B,2024-09-13,213
F,2023-12-18,620
D,2024-10-07,398
E,2025-11-04,606
F,2023-11-08,629
C,2025-02-02,1030
A,2025-05-06,431
E,2024-04-13,228
B,2023-08-26,111
C,2024-08-16,993
A,2025-10-07,681
C,2024-11-08,961
F,2024-02-21,430
G,2025-09-20,560
D,2024-04-29,62
E,2024-11-21,609
C,2023-11-17,1124
B,2025-01-24,468
E,2024-10-12,355
C,2024-11-12,942
A,2024-11-12,393
E,2025-07-22,776
C,2023-12-03,1130
D,2023-08-07,148
A,2024-01-21,115
G,2025-09-26,536
G,2023-10-05,210
D,2023-12-23,219
F,2024-02-15,448
C,2024-02-12,934
E,2024-08-17,429
A,2025-05-04,441
G,2023-12-17,125
B,2023-08-07,115
D,2025-01-27,381
C,2023-11-02,1208
E,2024-05-22,522
D,2024-10-02,436
D,2023-12-08,293
G,2025-10-16,640
B,2025-06-13,240
B,2025-11-11,187
G,2024-07-17,303
G,2024-07-23,266
C,2025-03-27,893
D,2023-07-25,85
E,2024-10-05,394
B,2023-09-29,234
D,2025-11-29,660
G,2025-04-15,148
G,2025-09-25,543
G,2024-06-04,240
A,2024-02-23,47
E,2023-12-18,50
G,2023-12-29,161
A,2024-09-10,422
G,2025-01-07,307
E,2025-11-02,519
C,2023-10-17,1287
G,2025-11-10,628
G,2025-09-03,430
D,2024-04-28,70
E,2025-03-01,482
B,2023-11-23,136
G,2023-08-16,233
F,2025-11-05,458
F,2024-03-10,472
G,2023-11-09,130
F,2025-03-04,570
C,2024-02-06,954
E,2025-07-10,827
G,2025-04-17,136
G,2023-11-16,88
B,2024-07-25,436
F,2024-09-13,517
E,2024-05-21,528
E,2024-09-22,349
G,2024-09-06,441
E,2025-07-13,808
F,2024-03-08,480
F,2023-09-13,792
B,2024-02-23,85
D,2024-12-09,518
D,2024-11-30,563
B,2025-03-24,267
C,2023-09-14,1339
A,2025-10-28,567
C,2025-11-07,1158
B,2023-08-30,86
B,2025-12-11,15
C,2024-05-24,812
C,2025-06-27,956
A,2023-09-04,488
D,2025-11-09,570
C,2023-09-16,1331
F,2025-09-05,472
E,2024-09-14,400
F,2025-05-01,558
D,2025-05-02,503
B,2024-01-15,105
C,2024-09-20,895
C,2024-08-10,1017
B,2024-04-24,185
G,2025-07-30,282
B,2023-09-02,77
E,2024-03-09,203
F,2024-06-09,397
G,2024-11-22,257
G,2024-05-18,334
D,2024-10-03,433
D,2025-06-28,513
A,2024-06-05,245
G,2024-08-25,213
E,2023-11-20,205
G,2025-10-04,497
A,2023-12-27,140
G,2024-02-16,103
E,2023-09-07,75
E,2025-02-14,463
B,2024-12-27,184
B,2023-08-04,33
B,2023-10-14,119
B,2024-08-08,439
A,2024-07-04,475
E,2024-01-05,162
B,2025-11-21,138
C,2025-03-12,859
E,2024-01-14,135
A,2025-01-17,490
D,2025-10-31,517
C,2025-06-21,876
B,2024-07-12,98
A,2023-12-19,181
B,2024-05-05,131
E,2024-01-06,156
A,2024-09-28,438
E,2024-03-27,205
C,2025-10-31,1199
A,2024-01-12,157
C,2025-07-20,943
B,2025-04-16,251
E,2023-12-09,90
F,2024-06-22,637
F,2023-12-13,561
C,2025-09-28,1269
E,2025-11-08,584
D,2024-06-18,118
G,2023-12-26,178
C,2024-06-17,682
G,2025-08-09,328
F,2024-01-09,525
C,2025-04-09,942
E,2024-06-15,481
D,2025-11-12,551
A,2024-06-08,231
E,2024-05-12,265
F,2024-06-03,329
C,2025-08-18,905
A,2025-01-23,448
G,2024-02-09,37
G,2025-12-09,481
G,2024-06-14,381
F,2024-02-28,417
B,2023-11-15,68
C,2024-04-27,825
G,2024-09-25,344
B,2024-11-17,302
A,2024-12-25,505
C,2023-08-08,1247
B,2023-09-25,255
C,2024-08-14,1003
A,2024-03-24,103
C,2025-05-10,978
D,2025-02-28,593
E,2024-10-29,446
C,2024-06-13,697
B,2023-11-16,61
G,2024-02-27,48
C,2024-11-14,933
C,2023-09-09,1168
D,2025-10-02,446
B,2024-09-24,280
B,2025-03-27,346
D,2024-03-01,213
F,2023-09-03,853
E,2024-08-02,388
B,2025-12-05,54
A,2023-12-12,223
F,2023-09-08,820
B,2025-07-18,241
C,2025-11-25,1039
B,2025-07-06,219
E,2025-11-15,543
D,2024-03-31,85
F,2023-08-16,961
A,2024-05-25,108
D,2024-03-12,181
D,2024-08-28,489
E,2024-08-16,331
E,2025-09-16,565
G,2024-01-12,95
G,2024-10-12,256
D,2024-03-26,113
B,2025-06-15,226
F,2023-10-16,753
C,2025-11-09,1143
G,2024-04-15,294
E,2024-08-01,395
B,2025-05-15,297
A,2024-06-19,178
G,2025-10-22,619
A,2023-10-21,251
A,2024-02-26,32
B,2024-09-09,243
C,2024-04-18,770
G,2025-08-11,319
B,2024-10-24,306
B,2024-02-14,30
B,2025-07-10,200
A,2024-01-22,115
F,2025-05-11,502
A,2025-02-08,355
C,2024-05-08,758
D,2024-01-20,175
F,2024-05-09,391
D,2024-01-12,221
C,2025-10-22,1249
A,2025-04-15,418
E,2025-10-07,458
G,2024-11-27,230
G,2025-05-09,616
C,2024-01-26,903
E,2023-10-19,53
A,2025-08-18,702
D,2025-08-18,489
D,2024-03-07,197
A,2024-11-19,360
A,2024-09-16,397
B,2024-05-09,124
F,2024-03-09,474
G,2025-09-18,572
B,2024-03-31,95
B,2023-10-10,147
A,2024-07-31,422
B,2025-10-23,275
F,2023-08-02,929
F,2025-06-01,573
F,2024-07-06,671
G,2025-06-11,528
A,2025-12-07,430
C,2024-03-05,816
B,2023-08-24,123
G,2025-04-19,122
G,2025-04-22,109
E,2024-09-08,432
E,2024-08-11,352
D,2024-01-01,285
F,2024-06-23,630
E,2024-11-02,420
G,2025-08-10,326
E,2024-07-14,399
B,2025-10-18,299
G,2024-07-25,261
B,2025-03-29,343
F,2024-02-06,493
B,2023-11-18,53
B,2025-04-06,300
G,2024-11-18,285
C,2024-05-01,808
F,2024-09-06,563
C,2023-11-10,1153
C,2024-07-12,641
D,2024-06-03,91
B,2024-08-19,371
E,2023-09-03,88
G,2024-12-31,350
G,2025-07-21,333
A,2023-12-01,182
E,2024-03-17,148
E,2024-07-18,383
C,2025-01-21,782
B,2025-09-23,317
F,2024-07-14,627
C,2024-10-02,924
F,2024-10-29,586
G,2024-05-17,337
E,2024-02-29,130
A,2025-01-21,462
D,2024-07-13,96
C,2024-04-10,730
D,2025-09-16,436
F,2025-12-10,390
A,2024-02-08,130
F,2023-12-04,610
E,2024-06-11,501
F,2025-02-24,597
D,2025-02-11,403
B,2024-10-12,263
F,2025-05-12,597
D,2024-04-08,151
A,2024-07-11,531
B,2025-02-16,340
F,2024-10-17,537
D,2024-04-13,126
D,2024-10-29,502
E,2025-07-17,788
B,2024-10-29,286
G,2023-08-21,226
C,2023-11-08,1165
G,2023-10-25,214
F,2025-12-02,426
D,2023-08-29,248
C,2023-12-28,1007
A,2025-11-14,459
A,2025-02-12,344
C,2024-02-17,913
F,2023-10-24,713
D,2024-10-19,446
E,2024-12-04,533
G,2023-12-27,168
D,2025-10-17,571
C,2025-05-17,935
G,2023-12-07,167
E,2025-04-21,442
E,2024-02-03,143
A,2024-08-15,356
G,2024-01-05,132
G,2025-05-14,682
E,2025-07-01,388
E,2025-10-19,510
B,2024-10-08,285
D,2025-01-21,424
A,2025-03-08,410
F,2025-08-10,618
C,2024-10-21,824
F,2024-12-10,476
C,2025-10-01,1248
E,2024-01-11,139
C,2023-10-07,1341
F,2023-11-05,645
F,2024-11-22,462
A,2025-02-24,377
C,2023-08-27,1236
E,2024-04-24,165
G,2024-02-21,72
G,2024-11-26,236
B,2025-10-12,328
F,2023-07-23,788
G,2024-01-22,49
F,2025-06-28,550
D,2024-11-25,483
F,2025-01-24,550
D,2024-01-27,158
E,2025-05-30,445
F,2025-09-22,587
D,2025-02-19,342
B,2025-10-01,390
E,2025-06-16,372
F,2024-04-01,467
F,2025-04-15,643
C,2023-08-15,1205
D,2023-08-06,151
C,2024-11-22,877
B,2025-01-17,191
G,2025-07-01,439
E,2025-05-20,501
B,2024-01-06,54
G,2024-02-22,71
F,2024-08-22,634
E,2025-09-28,494
G,2025-07-09,396
C,2023-11-18,1114
B,2023-11-09,99
E,2024-03-10,195
C,2024-01-01,973
C,2024-05-25,806
D,2025-09-02,511
F,2025-05-17,562
C,2025-06-06,946
E,2024-01-17,130
D,2023-08-30,242
D,2024-06-29,69
G,2025-08-31,440
C,2025-03-22,920
C,2024-10-24,811
G,2024-02-24,52
D,2024-06-11,52
B,2025-05-26,337
D,2023-11-26,341
F,2024-02-07,488
B,2025-02-21,311
B,2024-02-06,79
F,2023-11-07,635
G,2024-03-13,379
B,2025-03-03,280
A,2024-02-06,31
G,2024-11-23,249
A,2023-08-09,327
D,2025-03-19,499
F,2025-04-18,628
B,2024-06-16,37
B,2025-10-27,262
E,2024-10-08,386
D,2025-10-29,522
D,2025-04-28,521
G,2025-10-27,700
D,2024-08-06,176
A,2024-04-26,140
B,2024-05-21,181
F,2024-07-21,592
F,2025-08-02,475
E,2023-08-18,65
C,2025-12-08,981
G,2024-01-13,85
D,2023-08-19,180
B,2025-06-30,254
B,2024-08-23,344
F,2024-01-28,540
E,2025-04-15,472
B,2025-12-10,25
E,2025-09-15,565
E,2025-10-21,500
F,2025-03-03,574
A,2024-05-05,210
E,2025-10-05,467
G,2025-09-27,528
A,2025-06-08,343
F,2024-05-16,349
G,2023-11-26,140
F,2024-12-13,666
C,2024-12-18,858
C,2024-06-05,742
G,2025-10-05,496
A,2023-11-30,188
A,2024-08-23,424
D,2025-07-18,418
E,2025-09-22,525
F,2025-08-17,582
A,2024-02-20,66
G,2025-04-24,195
C,2024-03-02,836
G,2025-04-04,120
E,2025-08-03,802
C,2025-08-21,884
E,2025-07-25,853
D,2023-07-21,4
B,2023-12-13,51
D,2025-12-07,619
B,2025-06-03,304
G,2023-12-05,184
E,2024-12-26,419
E,2025-05-31,444
F,2025-12-05,415
C,2024-11-04,969
B,2023-07-20,14
D,2023-12-24,315
A,2024-12-05,409
E,2025-08-14,729
E,2025-09-07,608
A,2024-11-14,386
A,2025-07-09,406
F,2025-04-29,575
D,2024-01-28,157
E,2024-11-28,577
G,2023-11-14,99
C,2023-08-30,1215
A,2023-09-03,489
C,2025-06-10,924
G,2024-04-23,246
A,2025-10-14,639
A,2025-03-14,372
A,2025-02-04,383
A,2024-12-07,398
A,2024-05-09,200
D,2025-05-25,471
D,2024-05-27,122
C,2025-12-03,1001
G,2024-09-03,262
C,2024-06-16,687
B,2023-10-09,151
C,2025-08-07,952
F,2023-09-25,742
G,2025-02-20,149
E,2025-10-14,532
D,2025-02-24,615
E,2024-08-04,382
F,2024-08-19,642
C,2025-06-11,923
A,2024-05-08,200
F,2025-07-21,536
A,2024-06-21,260
G,2025-08-30,441
G,2024-07-05,269
F,2025-07-05,521
F,2024-05-29,352
A,2024-06-24,438
B,2024-10-31,379
D,2024-03-13,180
G,2023-12-28,166
A,2024-04-25,140
A,2024-11-17,367
G,2025-12-08,484
C,2025-04-02,966
E,2023-12-07,101
C,2025-11-26,1037
C,2025-03-07,885
E,2025-09-10,586
F,2024-12-21,714
A,2024-07-30,424
G,2025-05-22,634
C,2023-12-18,1055
G,2024-09-24,347
B,2025-03-02,281
A,2023-10-13,288
B,2025-10-09,345
A,2024-10-31,352
G,2023-08-09,261
G,2024-08-30,184
B,2025-09-08,186
D,2024-08-02,188
F,2023-12-01,630
E,2023-11-19,206
G,2025-04-09,198
B,2025-07-19,335
A,2024-08-26,405
D,2024-11-04,472
F,2023-10-30,673
C,2023-07-20,1234
C,2024-07-10,649
D,2024-05-30,105
B,2025-04-23,321
A,2024-06-11,208
F,2023-10-06,695
C,2023-10-18,1284
F,2023-10-10,681
D,2025-11-28,662
B,2025-05-05,363
D,2024-07-31,4
D,2023-09-18,345
F,2023-11-15,601
F,2024-04-15,493
C,2024-12-12,888
C,2025-09-04,914
C,2025-01-09,856
C,2024-03-19,836
G,2024-09-28,327
E,2023-10-07,24
E,2024-04-10,147
F,2025-01-12,608
C,2023-09-01,1206
F,2025-11-13,414
